Restaurant_Name,Online,Booking,Rating,Location,Cuisines,Price,Restaurant_Type
Fatso's,Yes,No,3.8,Brigade Road,"Cafe, American, Italian, Burger",650.0,Cafes
Biriyaniz,Yes,No,3.5,HSR,"Biryani, North Indian, Chinese, Andhra",400.0,Delivery
24@43 - The Oterra,No,Yes,4.1,Electronic City,"North Indian, Asian, Continental",3000.0,Dine-out
Upahara Bhavan,Yes,No,3.8,Bannerghatta Road,"South Indian, North Indian, Chinese",300.0,Delivery
Ross Kitchen,Yes,No,3.6,BTM,Chinese,400.0,Delivery
OvenTreats - Patisserie.Bistro,No,No,4.0,Kalyan Nagar,American,1000.0,Desserts
Balle Balle Dhaba,Yes,No,3.6,Kalyan Nagar,"North Indian, Chinese",500.0,Dine-out
Burger Garden,Yes,No,3.4,South Bangalore,"Fast Food, Burger, Desserts, Cafe",300.0,Delivery
Kobe Sizzlers,No,Yes,4.1,Koramangala 5th Block,"American, Continental, Fast Food, Steak",1000.0,Dine-out
Rolls On Wheels,No,No,2.8,BTM,"Fast Food, Rolls, Momos",300.0,Delivery
Kanti Sweets,Yes,No,4.0,Bellandur,"Mithai, Street Food",400.0,Dine-out
Kataria's Pakwan,Yes,No,3.2,Kumaraswamy Layout,North Indian,400.0,Delivery
Burrito Boys,Yes,No,3.0,Bannerghatta Road,"Mexican, Tex-Mex",400.0,Delivery
BBQ@52,No,Yes,3.8,MG Road,"BBQ, Biryani, Continental",1500.0,Buffet
Eat Repeat Express,Yes,No,3.2,JP Nagar,"North Indian, South Indian, Chinese, Biryani, Mexican",700.0,Dine-out
Suryawanshi,Yes,No,4.2,Indiranagar,"Seafood, Maharashtrian",700.0,Delivery
Second Wife Cafe,Yes,No,3.8,HSR,"Arabian, North Indian",400.0,Delivery
Bollywood Grill,No,No,3.4,Electronic City,North Indian,1500.0,Dine-out
Sunny Side Bistro,No,No,3.7,Indiranagar,"Cafe, Continental",700.0,Delivery
California Burrito,No,No,3.3,JP Nagar,"Mexican, Fast Food",400.0,Delivery
7 Plates,Yes,No,3.9,Frazer Town,"North Indian, Mughlai, Rolls, Fast Food",600.0,Delivery
Ramji Chaiwale,Yes,No,3.7,Ulsoor,"Beverages, Fast Food",250.0,Delivery
Malgudi's Donne Biriyani,Yes,No,3.8,Rajajinagar,Biryani,350.0,Delivery
Burger Man,Yes,No,3.4,Yeshwantpur,"Burger, Fast Food",300.0,Delivery
Just Bake,Yes,No,2.9,Sarjapur Road,"Bakery, Desserts",400.0,Delivery
Chef Baker's,Yes,No,2.9,Nagawara,"Bakery, Fast Food, Pizza, Burger, Cafe",600.0,Delivery
Shanthi Sagar,Yes,No,3.1,Koramangala 6th Block,South Indian,250.0,Delivery
Tasty Magic,Yes,No,2.7,BTM,"Chinese, North Indian",600.0,Delivery
Food Theory,No,No,2.6,HSR,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500.0,Desserts
Anjappar,No,No,3.1,JP Nagar,"Chettinad, South Indian",650.0,Dine-out
Sriracha,No,No,4.3,Lavelle Road,"Thai, Chinese, Indonesian, Asian, Momos",1500.0,Dine-out
Zhang's - Chinese Restaurant,Yes,No,4.1,JP Nagar,"Chinese, Momos",700.0,Delivery
Karavali Grand,Yes,No,3.7,Koramangala 5th Block,"Mangalorean, Seafood, North Indian, Chinese",600.0,Delivery
The Culinarium,No,No,4.0,Vasanth Nagar,"Cafe, Desserts, Beverages",1100.0,Cafes
Rags on Fire,Yes,No,3.1,Electronic City,Cafe,600.0,Delivery
Gorbandh,Yes,No,4.0,BTM,"Fast Food, North Indian",400.0,Delivery
Udupi Gardenia,Yes,No,3.4,Banaswadi,South Indian,400.0,Dine-out
Sindhu Family Restaurant,No,No,3.2,New BEL Road,"North Indian, Chinese, Seafood",600.0,Delivery
Grand Hotel,Yes,No,3.6,Old Airport Road,"Hyderabadi, Biryani",500.0,Dine-out
Dakshin Sagar,Yes,No,3.1,HSR,"South Indian, North Indian, Chinese, Street Food",400.0,Delivery
Aathithya,No,No,3.1,Infantry Road,"North Indian, Continental, Chinese",1100.0,Dine-out
Gangothri Veg Restaurant,Yes,No,3.7,Koramangala 6th Block,"North Indian, South Indian, Chinese",300.0,Delivery
Little Chef,No,No,4.0,Richmond Road,Chinese,550.0,Dine-out
Insta Cafe,Yes,No,2.9,BTM,"Cafe, Continental, Pizza, Italian, Beverages",400.0,Delivery
Tree Top,Yes,No,3.8,Wilson Garden,"Continental, Chinese, North Indian, South Indian",1000.0,Delivery
Lounge 189,No,No,3.8,HSR,"Continental, Italian",1300.0,Dine-out
Vinaya Cafe,Yes,No,3.4,Jayanagar,"South Indian, Street Food, Juices",200.0,Dine-out
Ande Ka Funda,No,No,3.7,Koramangala 7th Block,"North Indian, Chinese, Rolls",250.0,Dine-out
Cafe Fattoush,Yes,No,3.8,BTM,"Cafe, Lebanese",700.0,Dine-out
Juice Junction Food Court,Yes,No,3.8,HSR,"Juices, South Indian, Chinese, Fast Food",200.0,Dine-out
Kerala Mess,No,No,3.2,Marathahalli,"Kerala, Chinese, South Indian",300.0,Delivery
Crunch Pizzas,Yes,No,2.5,Ulsoor,"Italian, Pizza",600.0,Delivery
Brahmin Tiffins & Coffee,No,No,4.2,Jayanagar,South Indian,100.0,Dine-out
The Coastal Crew by Fujian on 24th,Yes,Yes,4.2,JP Nagar,"Chinese, Thai, Seafood, North Indian, Momos",1100.0,Delivery
India On Wheels,Yes,No,3.6,Koramangala 3rd Block,North Indian,400.0,Delivery
Matteo Coffea,No,No,4.4,Church Street,Cafe,600.0,Dine-out
The Village Hotel,Yes,No,3.5,HSR,Kerala,450.0,Delivery
Coffee Mechanics,Yes,No,4.3,HBR Layout,"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee",700.0,Dine-out
Shanmukha,Yes,No,4.0,HSR,"Biryani, Andhra, North Indian, Chinese",800.0,Delivery
