Online,Booking,Location,Cuisines,Restaurant_Type,Rating,Price
1,0,8,449,1,3.8,6.476972362889683
1,0,22,371,2,3.5,5.991464547107982
0,1,19,1501,4,4.1,8.006367567650246
1,0,3,2080,2,3.8,5.703782474656201
1,0,0,654,2,3.6,5.991464547107982
0,0,35,2,3,4.0,6.907755278982137
1,0,35,1545,4,3.6,6.214608098422191
1,0,77,1046,2,3.4,5.703782474656201
0,1,44,15,4,4.1,6.907755278982137
0,0,0,1107,2,2.8,5.703782474656201
1,0,6,1435,4,4.0,5.991464547107982
1,0,48,1485,2,3.2,5.991464547107982
1,0,3,1423,2,3.0,5.991464547107982
0,1,51,194,0,3.8,7.313220387090301
1,0,29,1825,4,3.2,6.551080335043404
1,0,27,1987,2,4.2,6.551080335043404
1,0,22,130,2,3.8,5.991464547107982
0,0,19,1485,4,3.4,7.313220387090301
0,0,27,498,2,3.7,6.551080335043404
0,0,29,1421,2,3.3,5.991464547107982
1,0,20,1786,2,3.9,6.396929655216146
1,0,80,270,2,3.7,5.521460917862246
1,0,64,308,2,3.8,5.857933154483459
1,0,89,421,2,3.4,5.703782474656201
1,0,73,212,2,2.9,5.991464547107982
1,0,57,228,2,2.9,6.396929655216146
1,0,45,2008,2,3.1,5.521460917862246
1,0,0,727,2,2.7,6.396929655216146
0,0,22,380,3,2.6,6.214608098422191
0,0,29,650,4,3.1,6.476972362889683
0,0,50,2184,4,4.3,7.313220387090301
1,0,29,720,2,4.1,6.551080335043404
1,0,44,1398,2,3.7,6.396929655216146
0,0,83,549,1,4.0,7.003065458786462
1,0,19,436,2,3.1,6.396929655216146
1,0,0,1091,2,4.0,5.991464547107982
1,0,2,2008,4,3.4,5.991464547107982
0,0,58,1643,2,3.2,6.396929655216146
1,0,60,1199,4,3.6,6.214608098422191
1,0,22,2093,2,3.1,5.991464547107982
0,0,28,1680,4,3.1,7.003065458786462
1,0,45,1820,2,3.7,5.703782474656201
0,0,68,654,4,4.0,6.309918278226516
1,0,0,536,2,2.9,5.991464547107982
1,0,87,858,2,3.8,6.907755278982137
0,0,22,882,4,3.8,7.170119543449628
1,0,31,2122,4,3.4,5.298317366548036
0,0,46,1638,4,3.7,5.521460917862246
1,0,0,606,4,3.8,6.551080335043404
1,0,22,1303,4,3.8,5.298317366548036
0,0,55,1329,2,3.2,5.703782474656201
1,0,80,1269,2,2.5,6.396929655216146
0,0,31,2008,4,4.2,4.605170185988092
1,1,29,794,2,4.2,7.003065458786462
1,0,42,1485,2,3.6,5.991464547107982
0,0,12,436,4,4.4,6.396929655216146
1,0,22,1315,2,3.5,6.1092475827643655
1,0,21,465,4,4.3,6.551080335043404
1,0,22,314,2,4.0,6.684611727667927
1,0,54,204,3,3.7,5.298317366548036
0,0,1,457,3,3.2,6.396929655216146
1,0,40,1068,2,3.5,5.298317366548036
1,0,5,746,2,3.8,6.684611727667927
1,0,22,237,4,3.9,6.1092475827643655
1,0,73,224,2,3.7,5.991464547107982
0,0,6,780,4,2.9,5.991464547107982
1,0,20,1471,2,3.9,6.551080335043404
1,0,22,212,2,3.7,5.857933154483459
1,0,27,212,2,3.9,5.991464547107982
1,0,50,230,3,4.2,5.703782474656201
1,0,44,2205,2,4.0,5.703782474656201
0,0,55,856,0,3.7,7.090076835776092
1,0,80,645,2,3.9,6.396929655216146
1,0,31,767,2,3.6,6.684611727667927
1,0,0,1545,2,3.1,6.1092475827643655
1,1,12,1239,2,4.2,6.907755278982137
0,0,20,966,3,3.6,6.396929655216146
0,0,55,94,4,3.8,7.003065458786462
0,0,16,450,1,3.4,5.991464547107982
0,1,16,1017,4,4.1,8.006367567650246
1,0,22,1163,2,3.4,5.703782474656201
0,0,73,77,4,2.9,6.684611727667927
1,0,50,230,2,4.2,5.703782474656201
1,0,3,436,1,3.9,6.396929655216146
1,0,10,786,2,3.8,6.214608098422191
1,1,41,897,4,4.0,7.003065458786462
1,0,54,1485,4,3.0,6.620073206530356
0,0,20,1930,2,3.3,5.703782474656201
1,0,53,2021,2,3.7,6.620073206530356
1,0,0,260,2,3.2,5.298317366548036
0,0,68,1545,0,3.3,6.396929655216146
1,0,18,1545,2,3.4,5.857933154483459
0,0,27,1238,4,4.7,7.313220387090301
1,0,79,67,4,3.9,6.396929655216146
1,0,55,968,2,3.4,5.703782474656201
1,0,6,1545,4,4.2,6.1092475827643655
1,0,27,2147,4,4.0,5.703782474656201
1,0,29,295,4,3.4,5.703782474656201
1,1,44,444,2,4.2,6.396929655216146
1,0,27,1164,2,3.9,6.396929655216146
1,0,2,555,2,3.8,6.309918278226516
1,1,54,1485,2,4.0,6.907755278982137
0,1,15,1784,4,4.0,7.170119543449628
1,0,0,1519,2,3.4,5.521460917862246
0,0,18,806,4,3.3,6.802394763324311
1,0,48,2018,2,3.2,5.703782474656201
1,1,12,1485,2,4.1,6.396929655216146
1,0,40,1253,2,3.3,5.991464547107982
0,1,73,1155,6,4.5,7.495541943884256
1,0,32,1874,4,2.9,5.521460917862246
1,0,58,1565,2,3.8,6.1092475827643655
1,0,22,104,2,4.0,6.214608098422191
1,0,27,1545,2,3.6,5.703782474656201
0,0,6,1485,2,4.0,7.090076835776092
1,0,43,350,2,3.4,5.991464547107982
1,0,22,2096,2,3.5,5.991464547107982
1,0,29,1052,2,2.9,5.991464547107982
